,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
0,A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2023-11-07T00:00:00Z
1,AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2023-11-07T00:00:00Z
2,AAA,AXS First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,0001776878,BBG01B0JRCS6,BBG01B0JRCT5,2023-11-07T00:00:00Z
3,AAAIF,ALTERNATIVE INVSTMENT TR,otc,us,,FUND,True,USD,,,,2022-08-26T05:00:07.114Z
4,AAALF,AAREAL BANK AG AKT,otc,us,,OS,True,USD,,,,2022-04-01T06:49:22.884Z
5,AAALY,AAREAL BANK AG UNSP/ADR,otc,us,,ADRC,True,USD,,BBG002628DF1,BBG002628F57,2023-05-04T05:00:29.876Z
6,AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2023-11-07T00:00:00Z
7,AABB,ASIA BROADBAND INC,otc,us,,CS,True,USD,,BBG000CWNRN5,BBG001SGRBK5,2023-04-17T05:00:24.252Z
8,AABVF,ABERDEEN INTL INC,otc,us,,OS,True,USD,,BBG000BXKHJ4,BBG001S6XZ90,2023-05-10T05:00:36.305Z
9,AACAF,AAC TECHS HLDGS INC ORD,otc,us,,OS,True,USD,,,,2022-06-24T14:14:05.429Z
10,AACAY,AAC TECHS HLDGS UNSP/ADR,otc,us,,ADRC,True,USD,,BBG000VNTB62,BBG001T3PT80,2023-04-14T05:00:16.614Z
11,AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2023-11-07T00:00:00Z
12,AACI,Armada Acquisition Corp. I Common Stock,stocks,us,XNAS,CS,True,usd,0001844817,BBG011XR7306,BBG011XR7315,2023-11-07T00:00:00Z
13,AACIU,Armada Acquisition Corp. I Unit,stocks,us,XNAS,UNIT,True,usd,0001844817,BBG011PFP1D1,BBG011PFP285,2023-11-07T00:00:00Z
14,AACIW,Armada Acquisition Corp. I Warrant,stocks,us,XNAS,WARRANT,True,usd,0001844817,BBG011XRPQV1,,2023-11-07T00:00:00Z
15,AACS,AMER COMMERCE SOLTNS INC,otc,us,,CS,True,USD,,BBG000JVQ2Q9,BBG001SBV1Z7,2023-10-11T21:27:34.659Z
16,AACT,Ares Acquisition Corporation II,stocks,us,XNYS,CS,True,usd,0001853138,,,2023-11-07T00:00:00Z
17,AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0001853138,,,2023-11-07T00:00:00Z
18,AACT.WS,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001853138,,,2023-11-07T00:00:00Z
19,AACTF,AURORA SOLAR TECHNOLOGIES,otc,us,,OS,True,USD,,BBG005BTJ9X6,BBG001STZM33,2022-08-12T05:00:19.436Z
20,AADI,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001422142,BBG002WN7DT2,BBG002WN7DV9,2023-11-07T00:00:00Z
21,AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2023-11-07T00:00:00Z
22,AAEEF,ALTAIR RES INC ORD,otc,us,,OS,True,USD,,BBG002DMMHW5,BBG001SPCXW0,2023-10-11T21:28:26.759Z
23,AAFRF,AIRTEL AFRICA PLC,otc,us,,OS,True,USD,,,,2022-09-30T14:57:35.719Z
24,AAGC,ALL AMERICAN GOLD CORP,otc,us,,CS,True,USD,,BBG000R4MM71,BBG001T948W9,2023-10-02T05:00:38.879Z
25,AAGFF,AFTERMATH SILVER LTD ORD,otc,us,,OS,True,USD,,BBG001ZZWS68,BBG001V0ZJL9,2023-11-07T09:45:12.452Z
26,AAGH,AMERICA GREAT HEALTH,otc,us,,CS,True,USD,,BBG003443HQ1,BBG003443JG8,2023-05-04T05:00:30.176Z
27,AAGIY,AIA GROUP LTD S/ADR,otc,us,,ADRC,True,USD,,BBG001R3QP52,BBG001V28NN4,2023-10-11T21:27:57.259Z
28,AAGRY,ASTRA AGRO LESTR UNSP/ADR,otc,us,,ADRC,True,USD,,BBG000KF9H79,BBG001T8KP46,2023-05-04T05:00:30.876Z
29,AAHIF,ASAHI CO LTD ORD,otc,us,,OS,True,USD,,,,2023-06-28T08:45:17.007Z
30,AAIC,Arlington Asset Investment Corp.,stocks,us,XNYS,CS,True,usd,0001209028,BBG000BD1373,BBG001S6DRN4,2023-11-07T00:00:00Z
31,AAICpB,Arlington Asset Investment Corp. 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001209028,,,2023-11-07T00:00:00Z
32,AAICpC,Arlington Asset Investment Corp. 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001209028,,,2023-11-07T00:00:00Z
33,AAIGF,AIA GROUP LTD ORD,otc,us,,OS,True,USD,,,,2022-07-13T16:04:35.488Z
34,AAIIQ,ALABAMA AIRCRAFT INDUS,otc,us,,CS,True,USD,,BBG000HPGHW5,BBG001SD4Q88,2023-10-11T21:27:35.459Z
35,AAIN,Arlington Asset Investment Corp. 6.000% Senior Notes Due 2026,stocks,us,XNYS,SP,True,usd,0001209028,,,2023-11-07T00:00:00Z
36,AAIRF,AMERICAN AIRES INC,otc,us,,OS,True,USD,,BBG00RD2H0V8,BBG00L8QSZF3,2023-10-06T05:00:13.532Z
37,AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2023-11-07T00:00:00Z
38,AALBF,AALBERTS INDUS NV ORD,otc,us,,OS,True,USD,,,,2021-09-28T00:10:12.175Z
39,AAMAF,ATLAS MARA CO NVEST ORD,otc,us,,OS,True,USD,,,,2021-12-10T07:30:30.598Z
